job_id,title,sector,description,required_skills,experience_level,company_type,location
JOB_00001,Senior Data Scientist,Veri Bilimi,"Scale-up bünyesinde görev yapacak Senior seviye Data Scientist arıyoruz. Veri Bilimi alanında deneyimli, NumPy, Hadoop, R teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: NumPy, Hadoop, R, Apache Spark, ETL, Tableau, Data Visualization, TensorFlow. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","NumPy, Hadoop, R, Apache Spark, ETL, Tableau, Data Visualization, TensorFlow",Senior,Scale-up,İstanbul
JOB_00002,Mid-Level Data Analyst,Veri Bilimi,"Veri Bilimi sektöründe faaliyet gösteren Teknoloji Devi'ümüz için Mid-Level Data Analyst pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: TensorFlow, Hadoop, Apache Spark, ETL, Tableau konularında deneyim. Ayrıca  teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","TensorFlow, Hadoop, Apache Spark, ETL, Tableau",Mid-Level,Teknoloji Devi,Ankara
JOB_00003,Senior Graphics Programmer,Oyun Geliştirme,"Ar-Ge Merkezi bünyesinde görev yapacak Senior seviye Graphics Programmer arıyoruz. Oyun Geliştirme alanında deneyimli, C#, Game Physics, Blender teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: C#, Game Physics, Blender, 3D Modeling, Performance Optimization. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","C#, Game Physics, Blender, 3D Modeling, Performance Optimization",Senior,Ar-Ge Merkezi,İzmir
JOB_00004,Lead Data Scientist,Veri Bilimi,"Lead seviyede Data Scientist pozisyonu için başvuruları kabul ediyoruz. Startup olarak Veri Bilimi alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Hadoop, Power BI, NumPy, Statistical Analysis, Python, PyTorch, Tableau, R, TensorFlow, A/B Testing. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Hadoop, Power BI, NumPy, Statistical Analysis, Python, PyTorch, Tableau, R, TensorFlow, A/B Testing",Lead,Startup,İzmir
JOB_00005,Principal Firmware Engineer,IoT ve Gömülü Sistemler,"Scale-up bünyesinde görev yapacak Principal seviye Firmware Engineer arıyoruz. IoT ve Gömülü Sistemler alanında deneyimli, C, Wireless Communication, MQTT teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: C, Wireless Communication, MQTT, Arduino, C++, PCB Design. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","C, Wireless Communication, MQTT, Arduino, C++, PCB Design",Principal,Scale-up,Remote
JOB_00006,Senior Payment Systems Engineer,Finans Teknolojileri,"Senior seviyede Payment Systems Engineer pozisyonu için başvuruları kabul ediyoruz. Scale-up olarak Finans Teknolojileri alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Risk Modeling, Smart Contracts, Solidity, Java, Payment Gateway Integration, SQL, Financial Analysis. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Risk Modeling, Smart Contracts, Solidity, Java, Payment Gateway Integration, SQL, Financial Analysis",Senior,Scale-up,Ankara
JOB_00007,Lead Research Scientist,Yapay Zeka,"Yapay Zeka sektöründe faaliyet gösteren Kurumsal Firma'ümüz için Lead Research Scientist pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: Reinforcement Learning, BERT, Model Deployment, Python, Keras konularında deneyim. Ayrıca MLOps, Feature Engineering, GPT teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","Reinforcement Learning, BERT, Model Deployment, Python, Keras, MLOps, Feature Engineering, GPT",Lead,Kurumsal Firma,İstanbul
JOB_00008,Senior CISO,Siber Güvenlik,"Siber Güvenlik sektöründe faaliyet gösteren Scale-up'ümüz için Senior CISO pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: Vulnerability Assessment, Wireshark, Incident Response, SIEM, Cryptography konularında deneyim. Ayrıca Penetration Testing, Burp Suite, Kali Linux, OWASP, Firewall, Security Auditing, Network Security teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","Vulnerability Assessment, Wireshark, Incident Response, SIEM, Cryptography, Penetration Testing, Burp Suite, Kali Linux, OWASP, Firewall, Security Auditing, Network Security",Senior,Scale-up,Ankara
JOB_00009,Lead Deep Learning Engineer,Yapay Zeka,"Lead seviyede Deep Learning Engineer pozisyonu için başvuruları kabul ediyoruz. Startup olarak Yapay Zeka alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Feature Engineering, TensorFlow, PyTorch, Reinforcement Learning, Model Deployment. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Feature Engineering, TensorFlow, PyTorch, Reinforcement Learning, Model Deployment",Lead,Startup,Remote
JOB_00010,Lead IoT Engineer,IoT ve Gömülü Sistemler,"Uluslararası Şirket bünyesinde görev yapacak Lead seviye IoT Engineer arıyoruz. IoT ve Gömülü Sistemler alanında deneyimli, Circuit Design, Arduino, Microcontrollers teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: Circuit Design, Arduino, Microcontrollers, C, C++, PCB Design, Embedded Linux, Raspberry Pi, Python, Sensor Integration, Wireless Communication, RTOS. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","Circuit Design, Arduino, Microcontrollers, C, C++, PCB Design, Embedded Linux, Raspberry Pi, Python, Sensor Integration, Wireless Communication, RTOS",Lead,Uluslararası Şirket,Remote
